电影名称,发布日期,下载链接
2024年沈腾马丽喜剧《抓娃娃》,,magnet:?xt=urn:btih:3e6644f11a404b916302e5559cb523893e15aec1&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%8a%93%e5%a8%83%e5%a8%83.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年剧情爱情《负负得正》HD,,magnet:?xt=urn:btih:2525e8e6bd020dc033ad8ec634005ef40969bd49&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e8%b4%9f%e8%b4%9f%e5%be%97%e6%ad%a3.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2023年剧情《乘船而去》BD国语,,magnet:?xt=urn:btih:02ba95c2948cc5aca231a5a141a94f000f84bee9&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e4%b9%98%e8%88%b9%e8%80%8c%e5%8e%bb.2023.BD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2023年获奖剧情《白日之下》HD,,magnet:?xt=urn:btih:2d6cc0ecf30f0e628c107f0aa787c7abce68e353&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e7%99%bd%e6%97%a5%e4%b9%8b%e4%b8%8b.2023.HD.1080P.%e5%9b%bd%e7%b2%a4%e5%8f%8c%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年疑惊悚《劫机/劫机1971/,,magnet:?xt=urn:btih:45ea6e8fb735e5ad2bc0c8cd0485cc6ae0aa45a5&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%8a%ab%e6%9c%ba.2024.BD.1080P.%e9%9f%a9%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年获奖剧情《图腾/女孩的,,magnet:?xt=urn:btih:c460d0e50d44b3b5dce740ac4a944e89988a10b4&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%9b%be%e8%85%be.2023.BD.1080P.%e8%a5%bf%e7%8f%ad%e7%89%99%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年高分剧情《姥姥的外孙》,,magnet:?xt=urn:btih:0fa1e009c2505f49ea3d5e8bd796264e55d07e38&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%a7%a5%e5%a7%a5%e7%9a%84%e5%a4%96%e5%ad%99.2024.HD.1080P.%e6%b3%b0%e5%9b%bd%e5%8f%8c%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2023年剧情《孤注一掷》HD国语,,magnet:?xt=urn:btih:0c19005ee07a5a88345520762cb80ee45a7d1791&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%ad%a4%e6%b3%a8%e4%b8%80%e6%8e%b7.2023.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年动画喜剧《头脑特工队2,,magnet:?xt=urn:btih:37ebbe4423bd0b31dff141ab3303540f499bd430&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%a4%b4%e8%84%91%e7%89%b9%e5%b7%a5%e9%98%9f2.2024.BD.1080P.%e5%9b%bd%e8%8b%b1%e5%8f%8c%e8%af%ad%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年动作喜剧《绝地战警：生,,magnet:?xt=urn:btih:0d1470a3f77d6102326257a2aef7835d853da8f5&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e7%bb%9d%e5%9c%b0%e6%88%98%e8%ad%a6%ef%bc%9a%e7%94%9f%e6%ad%bb%e4%b8%8e%e5%85%b1.2024.BD.1080P.%e5%9b%bd%e8%8b%b1%e5%8f%8c%e8%af%ad%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
